Data Generated by,Optosky
File Version:,1.2
标题,2407261354477 80mw 1000ms
操作员,admin
描述,10度
扫描时间,2024/7/26 13:54:47
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,9140.0,8376.0,764.0,348.16498350330204
1,195.9722,9140.0,8376.0,764.0,345.50477672338985
2,198.7144,9140.0,8376.0,764.0,342.38276916923604
3,201.4558,9140.0,8376.0,764.0,338.7834021932716
4,204.1965,9140.0,8376.0,764.0,334.6379672550167
5,206.9364,9140.0,8376.0,764.0,329.8874028678298
6,209.6757,9140.0,8376.0,764.0,324.4610999897111
7,212.4141,9140.0,8376.0,764.0,318.2920364109859
8,215.1519,9140.0,8376.0,764.0,311.42324975509433
9,217.8889,9226.0,8424.0,802.0,303.9357448150942
10,220.6251,9045.0,8341.0,704.0,295.8770942995612
11,223.3606,8944.0,8346.0,598.0,287.31127176558925
12,226.0954,9017.0,8319.0,698.0,278.3028162850047
13,228.8294,8952.0,8260.0,692.0,268.9009002227565
14,231.5626,8867.0,8224.0,643.0,259.20100478258246
15,234.2951,8886.0,8218.0,668.0,249.29915687707557
16,237.0269,8892.0,8223.0,669.0,239.20703506058476
17,239.7578,8798.0,8169.0,629.0,228.9207452933927
18,242.4881,8764.0,8196.0,568.0,218.4437940427613
19,245.2175,8753.0,8184.0,569.0,207.77020442407138
20,247.9463,8671.0,8099.0,572.0,196.94173162722066
21,250.6742,8668.0,8127.0,541.0,186.0187211445345
22,253.4014,8687.0,8130.0,557.0,175.02408533362876
23,256.1278,8616.0,8084.0,532.0,163.9867816860852
24,258.8534,8636.0,8116.0,520.0,152.9584539924383
25,261.5783,8687.0,8109.0,578.0,141.98479716140932
26,264.3024,8730.0,8175.0,555.0,131.14387662264397
27,267.0258,8615.0,8133.0,482.0,120.5174665172435
28,269.7483,8466.0,8086.0,380.0,110.1200436821741
29,272.4701,8504.0,8108.0,396.0,99.96071240429937
30,275.1911,8525.0,8064.0,461.0,90.05584748669058
31,277.9114,8485.0,8043.0,442.0,80.41575481258953
32,280.6308,8517.0,8092.0,425.0,71.11739400535919
33,283.3495,8531.0,8105.0,426.0,62.26426162117447
34,286.0674,8492.0,8076.0,416.0,53.90510520087424
35,288.7845,8434.0,8050.0,384.0,46.092503911777754
36,291.5008,8516.0,8069.0,447.0,38.91260188635323
37,294.2163,8624.0,8170.0,454.0,32.43282838542817
38,296.9311,8695.0,8296.0,399.0,26.75056464903983
39,299.645,8562.0,8154.0,408.0,21.956287378994485
40,302.3582,8449.0,8001.0,448.0,18.01454671809344
41,305.0706,8466.0,8052.0,414.0,14.852789558710459
42,307.7822,8538.0,8193.0,345.0,12.416290679034967
43,310.4929,8591.0,8184.0,407.0,10.631068007724174
44,313.2029,8541.0,8145.0,396.0,9.454809251026019
45,315.9121,8480.0,8148.0,332.0,8.862435321234043
46,318.6205,8479.0,8080.0,399.0,8.778466135222333
47,321.3281,8563.0,8104.0,459.0,9.128567883866866
48,324.0349,8561.0,8184.0,377.0,9.888787536495165
49,326.7409,8528.0,8146.0,382.0,11.037628169919786
50,329.4461,8494.0,8096.0,398.0,12.56951743197396
51,332.1504,8437.0,8052.0,385.0,14.484816908943474
52,334.854,8493.0,8110.0,383.0,16.724656852998688
53,337.5567,8492.0,8118.0,374.0,19.220051576591313
54,340.2587,8506.0,8079.0,427.0,21.919982280458157
55,342.9598,8505.0,8066.0,439.0,24.770289884575003
56,345.6601,8462.0,8128.0,334.0,27.750003980123935
57,348.3596,8460.0,8069.0,391.0,30.856392821057234
58,351.0583,8440.0,7999.0,441.0,34.054407247592515
59,353.7562,8539.0,8173.0,366.0,37.31269388818726
60,356.4532,8842.0,8433.0,409.0,40.63359760711919
61,359.1495,8729.0,8296.0,433.0,44.01527282091713
62,361.8449,8422.0,8032.0,390.0,47.47008018359269
63,364.5395,8390.0,8071.0,319.0,51.01281631647923
64,367.2332,8391.0,8044.0,347.0,54.590867572129696
65,369.9262,8365.0,7962.0,403.0,58.131617964884654
66,372.6183,8336.0,7958.0,378.0,61.59102829519818
67,375.3095,8401.0,7974.0,427.0,64.91906628730403
68,378.0,8439.0,8055.0,384.0,68.0681125861512
69,380.6896,8345.0,7986.0,359.0,71.00626914865505
70,383.3784,8250.0,7895.0,355.0,73.67377303049321
71,386.0664,8336.0,7953.0,383.0,76.01603357769395
72,388.7535,8366.0,7927.0,439.0,78.04557814861083
