Data Generated by,Optosky
File Version:,1.2
标题,2407261717443 80mw 1000ms
操作员,admin
描述,85度
扫描时间,2024/7/26 17:17:44
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,9354.0,8856.0,498.0,173.01832811159377
1,195.9722,9354.0,8856.0,498.0,173.01781155062943
2,198.7144,9354.0,8856.0,498.0,172.676769213655
3,201.4558,9354.0,8856.0,498.0,171.96364609204983
4,204.1965,9354.0,8856.0,498.0,170.8061902013225
5,206.9364,9354.0,8856.0,498.0,169.1515888232446
6,209.6757,9354.0,8856.0,498.0,166.910517945285
7,212.4141,9354.0,8856.0,498.0,164.00034384001782
8,215.1519,9354.0,8856.0,498.0,160.48110128014642
9,217.8889,9489.0,8942.0,547.0,156.45063770663415
10,220.6251,9353.0,8840.0,513.0,151.98957663480763
11,223.3606,9236.0,8774.0,462.0,147.1997907951807
12,226.0954,9288.0,8769.0,519.0,142.128880502632
13,228.8294,9217.0,8676.0,541.0,136.80050666138243
14,231.5626,9140.0,8627.0,513.0,131.30469564259727
15,234.2951,9136.0,8654.0,482.0,125.72501724652281
16,237.0269,9118.0,8653.0,465.0,120.0935692362369
17,239.7578,9066.0,8598.0,468.0,114.44932877780751
18,242.4881,9024.0,8584.0,440.0,108.78068973302453
19,245.2175,9000.0,8573.0,427.0,103.06797899732489
20,247.9463,8964.0,8535.0,429.0,97.40842064482291
21,250.6742,9025.0,8532.0,493.0,91.90755071903597
22,253.4014,9079.0,8571.0,508.0,86.65166624176754
23,256.1278,8968.0,8566.0,402.0,81.73435782954785
24,258.8534,8924.0,8542.0,382.0,77.13095255431091
25,261.5783,8980.0,8509.0,471.0,72.76586549655855
26,264.3024,9132.0,8642.0,490.0,68.65680904602331
27,267.0258,9059.0,8623.0,436.0,64.80537996163999
28,269.7483,8902.0,8535.0,367.0,61.145817584538314
29,272.4701,8932.0,8557.0,375.0,57.63954151474622
30,275.1911,8978.0,8570.0,408.0,54.16717897158463
31,277.9114,8890.0,8481.0,409.0,50.61144714643408
32,280.6308,8899.0,8485.0,414.0,47.09035426409394
33,283.3495,8985.0,8545.0,440.0,43.768193770744354
34,286.0674,8978.0,8556.0,422.0,40.77976320841843
35,288.7845,8863.0,8523.0,340.0,38.28821866929268
36,291.5008,8867.0,8562.0,305.0,36.31346023293457
37,294.2163,9007.0,8696.0,311.0,34.81690881634266
38,296.9311,9116.0,8738.0,378.0,33.892645209315276
39,299.645,8981.0,8594.0,387.0,33.60266439452872
40,302.3582,8887.0,8529.0,358.0,33.925420481103224
41,305.0706,8913.0,8531.0,382.0,34.868346670090574
42,307.7822,9013.0,8622.0,391.0,36.25598199140787
43,310.4929,9014.0,8663.0,351.0,37.897110840879414
44,313.2029,8928.0,8569.0,359.0,39.92504841825945
45,315.9121,8967.0,8566.0,401.0,42.47378690471075
46,318.6205,8930.0,8513.0,417.0,45.68735816594747
47,321.3281,8956.0,8569.0,387.0,49.72271680193751
48,324.0349,9007.0,8679.0,328.0,54.29424078127321
49,326.7409,8952.0,8578.0,374.0,58.97013766972124
50,329.4461,8901.0,8549.0,352.0,63.544630479674005
51,332.1504,8827.0,8524.0,303.0,67.76927060384256
52,334.854,8882.0,8494.0,388.0,71.37115503092745
53,337.5567,8895.0,8513.0,382.0,74.18418953363691
54,340.2587,8852.0,8539.0,313.0,75.82360897337924
55,342.9598,8864.0,8568.0,296.0,75.95804288861652
56,345.6601,8915.0,8598.0,317.0,74.77412539004372
57,348.3596,8847.0,8553.0,294.0,72.57276070483658
58,351.0583,8785.0,8468.0,317.0,69.76794030308002
59,353.7562,8998.0,8639.0,359.0,66.83657014741536
60,356.4532,9324.0,8926.0,398.0,63.88785115825839
61,359.1495,9173.0,8775.0,398.0,60.99467634566731
62,361.8449,8847.0,8478.0,369.0,58.25414073471759
63,364.5395,8874.0,8538.0,336.0,55.75519966771894
64,367.2332,8867.0,8551.0,316.0,53.9454385864106
65,369.9262,8818.0,8421.0,397.0,53.3271271168827
66,372.6183,8786.0,8409.0,377.0,54.292776275331754
67,375.3095,8833.0,8443.0,390.0,57.275433703274096
68,378.0,8935.0,8517.0,418.0,62.384718008835776
69,380.6896,8815.0,8467.0,348.0,69.5712269876247
70,383.3784,8719.0,8334.0,385.0,79.17245711265761
71,386.0664,8841.0,8468.0,373.0,91.39151391026667
72,388.7535,8826.0,8439.0,387.0,106.12154322905124
73,391.4398,8683.0,8288.0,395.0,123.3753779127727
74,394.1252,8705.0,8295.0,410.0,142.41416640683462
75,396.8098,8729.0,8291.0,438.0,162.41716433108732
76,399.4936,8760.0,8280.0,480.0,183.93276640008267
77,402.1765,8853.0,8313.0,540.0,207.50546412091342
78,404.8586,8899.0,8356.0,543.0,233.60584136007654
79,407.5399,8744.0,8249.0,495.0,262.76622290051233
80,410.2203,8834.0,8295.0,539.0,293.68445830537945
81,412.8998,8966.0,8366.0,600.0,324.34718735772776
82,415.5785,9040.0,8388.0,652.0,353.9198102290592
83,418.2564,9007.0,8288.0,719.0,381.38033547229134
84,420.9334,8858.0,8098.0,760.0,405.0590423437484
85,423.6096,8977.0,8219.0,758.0,423.7092740723727
86,426.2849,8997.0,8207.0,790.0,435.2043481857526
87,428.9593,8842.0,8000.0,842.0,437.5465248856601
88,431.6329,8891.0,8024.0,867.0,431.5978118783079
89,434.3057,8889.0,8091.0,798.0,418.9741077102412
90,436.9775,8986.0,8271.0,715.0,401.0212069512901
91,439.6486,8942.0,8121.0,821.0,379.4736377868328
92,442.3187,8657.0,7906.0,751.0,355.0020527568347
93,444.9881,8545.0,7930.0,615.0,327.85097827634746
94,447.6565,8414.0,7863.0,551.0,299.28112906612296
95,450.3241,8311.0,7817.0,494.0,270.4744899724421
96,452.9908,8275.0,7840.0,435.0,241.92724298816898
97,455.6567,8356.0,7911.0,445.0,214.15206122212982
98,458.3217,8444.0,7963.0,481.0,187.11538740628944
99,460.9858,8347.0,7853.0,494.0,160.67594145982838
100,463.6491,8209.0,7748.0,461.0,135.76792955124296
101,466.3114,8187.0,7742.0,445.0,113.3774463973618
102,468.973,8128.0,7677.0,451.0,94.42469112999636
103,471.6336,8030.0,7693.0,337.0,79.79093768242826
104,474.2934,8015.0,7694.0,321.0,69.1859935081624
105,476.9523,8046.0,7724.0,322.0,61.935907438603245
106,479.6103,8083.0,7791.0,292.0,57.616903896441464
107,482.2675,8102.0,7780.0,322.0,55.643956575265285
108,484.9237,8037.0,7700.0,337.0,55.67902825202849
109,487.5791,7899.0,7593.0,306.0,57.52792331491373
