Data Generated by,Optosky
File Version:,1.2
标题,2407261604034 80mw 1000ms
操作员,admin
描述,60度
扫描时间,2024/7/26 16:04:03
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,8900.0,8236.0,664.0,283.0778097673984
1,195.9722,8900.0,8236.0,664.0,282.3884168042935
2,198.7144,8900.0,8236.0,664.0,281.22305098969
3,201.4558,8900.0,8236.0,664.0,279.5483933691142
4,204.1965,8900.0,8236.0,664.0,277.2801628731291
5,206.9364,8900.0,8236.0,664.0,274.35280483426897
6,209.6757,8900.0,8236.0,664.0,270.66905318073367
7,212.4141,8900.0,8236.0,664.0,266.13833435683915
8,215.1519,8900.0,8236.0,664.0,260.82064511148474
9,217.8889,9001.0,8295.0,706.0,254.81993249928823
10,220.6251,8879.0,8184.0,695.0,248.21402112868202
11,223.3606,8754.0,8110.0,644.0,241.10323961581966
12,226.0954,8797.0,8078.0,719.0,233.5496330995477
13,228.8294,8738.0,8044.0,694.0,225.5919690605469
14,231.5626,8622.0,7995.0,627.0,217.3353592735071
15,234.2951,8605.0,8030.0,575.0,208.88110135475037
16,237.0269,8561.0,8047.0,514.0,200.2589844288483
17,239.7578,8528.0,7971.0,557.0,191.4965621063955
18,242.4881,8611.0,7986.0,625.0,182.59124425055654
19,245.2175,8561.0,7965.0,596.0,173.53094427291325
20,247.9463,8506.0,7891.0,615.0,164.40154210503573
21,250.6742,8544.0,7929.0,615.0,155.30265531722546
22,253.4014,8512.0,7973.0,539.0,146.30499979101774
23,256.1278,8455.0,7929.0,526.0,137.48628262268807
24,258.8534,8460.0,7906.0,554.0,128.85680156861656
25,261.5783,8493.0,7929.0,564.0,120.39103910663594
26,264.3024,8536.0,8058.0,478.0,112.13620335827663
27,267.0258,8436.0,8020.0,416.0,104.13069939466047
28,269.7483,8371.0,7930.0,441.0,96.34139874144846
29,272.4701,8442.0,7949.0,493.0,88.74956906564981
30,275.1911,8432.0,7926.0,506.0,81.29001190071035
31,277.9114,8326.0,7865.0,461.0,73.89563944660657
32,280.6308,8382.0,7926.0,456.0,66.6741022722435
33,283.3495,8401.0,7981.0,420.0,59.774269966723814
34,286.0674,8355.0,7946.0,409.0,53.29971056768186
35,288.7845,8322.0,7895.0,427.0,47.373091754565046
36,291.5008,8359.0,7918.0,441.0,42.049356640960355
37,294.2163,8427.0,7983.0,444.0,37.339130897348845
38,296.9311,8520.0,8096.0,424.0,33.347553665576655
39,299.645,8421.0,8003.0,418.0,30.158137016513926
40,302.3582,8281.0,7911.0,370.0,27.739176425368957
41,305.0706,8303.0,7933.0,370.0,26.057212487143097
42,307.7822,8441.0,8075.0,366.0,24.98367345050132
43,310.4929,8472.0,8072.0,400.0,24.37025522996336
44,313.2029,8366.0,7947.0,419.0,24.276466352432884
45,315.9121,8374.0,8005.0,369.0,24.77385065495916
46,318.6205,8311.0,7940.0,371.0,25.905518548496044
47,321.3281,8354.0,7971.0,383.0,27.723598709010083
48,324.0349,8420.0,8072.0,348.0,30.060391774038983
49,326.7409,8359.0,7937.0,422.0,32.66205254505309
50,329.4461,8329.0,7880.0,449.0,35.42108654484442
51,332.1504,8285.0,7896.0,389.0,38.211518144543795
52,334.854,8319.0,7961.0,358.0,40.831806259492176
53,337.5567,8286.0,7948.0,338.0,43.1305087011681
54,340.2587,8275.0,7944.0,331.0,44.86150914915053
55,342.9598,8318.0,7960.0,358.0,45.803504738379914
56,345.6601,8334.0,7964.0,370.0,46.05714885860719
57,348.3596,8303.0,7934.0,369.0,45.817649225914806
58,351.0583,8205.0,7904.0,301.0,45.284262849175654
59,353.7562,8379.0,8058.0,321.0,44.69166193986211
60,356.4532,8757.0,8420.0,337.0,44.170918117913416
61,359.1495,8605.0,8266.0,339.0,43.83515673957724
62,361.8449,8273.0,7891.0,382.0,43.79430950858195
63,364.5395,8308.0,7902.0,406.0,44.16425553096768
64,367.2332,8327.0,7891.0,436.0,45.14142843895118
65,369.9262,8194.0,7796.0,398.0,46.88649223096292
66,372.6183,8150.0,7793.0,357.0,49.623701749349706
67,375.3095,8204.0,7837.0,367.0,53.59101810353923
68,378.0,8320.0,7963.0,357.0,58.69041382198886
69,380.6896,8287.0,7899.0,388.0,64.75269399954706
70,383.3784,8201.0,7750.0,451.0,71.80202260862265
71,386.0664,8275.0,7818.0,457.0,79.77783985174302
72,388.7535,8180.0,7780.0,400.0,88.7345717332433
73,391.4398,8034.0,7687.0,347.0,98.90932662083404
74,394.1252,8111.0,7715.0,396.0,109.93912956766904
75,396.8098,8132.0,7695.0,437.0,121.4454952079866
76,399.4936,8117.0,7663.0,454.0,133.9500756701136
77,402.1765,8166.0,7690.0,476.0,147.91883103125483
78,404.8586,8227.0,7703.0,524.0,163.88248175178907
79,407.5399,8147.0,7673.0,474.0,182.40522747688388
80,410.2203,8200.0,7715.0,485.0,202.58894703695756
81,412.8998,8218.0,7733.0,485.0,222.99955014438865
82,415.5785,8285.0,7825.0,460.0,243.01385248767602
83,418.2564,8271.0,7701.0,570.0,261.85266647418945
84,420.9334,8145.0,7546.0,599.0,278.37470028508955
85,423.6096,8322.0,7681.0,641.0,291.7545934764104
86,426.2849,8341.0,7658.0,683.0,300.5100730597623
87,428.9593,8188.0,7512.0,676.0,303.2434324124938
88,431.6329,8217.0,7516.0,701.0,300.53716884010754
89,434.3057,8236.0,7533.0,703.0,293.49314046716887
90,436.9775,8361.0,7696.0,665.0,283.01371932016275
91,439.6486,8254.0,7581.0,673.0,270.2674066698495
92,442.3187,8066.0,7404.0,662.0,255.70998955885264
93,444.9881,8012.0,7410.0,602.0,239.49682553174992
94,447.6565,7892.0,7324.0,568.0,222.4801328272205
95,450.3241,7772.0,7278.0,494.0,205.4593791005651
96,452.9908,7747.0,7314.0,433.0,188.70649384932392
97,455.6567,7871.0,7392.0,479.0,172.47782020572313
98,458.3217,7936.0,7443.0,493.0,156.7061348112547
99,460.9858,7762.0,7386.0,376.0,141.24442034254253
100,463.6491,7640.0,7327.0,313.0,126.63312524317357
101,466.3114,7681.0,7241.0,440.0,113.46313844936572
102,468.973,7649.0,7186.0,463.0,102.2532126141271
103,471.6336,7610.0,7273.0,337.0,93.49906403969199
104,474.2934,7569.0,7275.0,294.0,87.03167157917393
105,476.9523,7596.0,7257.0,339.0,82.46333021749167
106,479.6103,7696.0,7252.0,444.0,79.5404724547566
107,482.2675,7672.0,7263.0,409.0,77.91826975613388
108,484.9237,7569.0,7240.0,329.0,77.4115098252372
109,487.5791,7486.0,7121.0,365.0,77.91281807663884
110,490.2336,7536.0,7206.0,330.0,79.06674729326065
111,492.8873,7498.0,7176.0,322.0,80.53162570522713
112,495.54,7558.0,7175.0,383.0,82.14448450169026
113,498.1919,7676.0,7342.0,334.0,83.72802536719931
114,500.8429,7589.0,7270.0,319.0,85.2784684248626
115,503.493,7534.0,7221.0,313.0,86.81508056472266
116,506.1422,7585.0,7330.0,255.0,88.01069880430153
117,508.7905,7549.0,7285.0,264.0,88.53316411715572
118,511.438,7532.0,7191.0,341.0,88.0447916558511
119,514.0845,7548.0,7155.0,393.0,86.2218636998577
120,516.7302,7507.0,7146.0,361.0,83.19216383358848
121,519.375,7486.0,7207.0,279.0,79.2282679726821
122,522.0188,7528.0,7264.0,264.0,74.50241427173388
123,524.6618,7566.0,7273.0,293.0,69.24799263854227
124,527.3039,7600.0,7283.0,317.0,63.6081750120927
125,529.9451,7645.0,7325.0,320.0,57.66492716367313
126,532.5854,7627.0,7297.0,330.0,51.67268400991099
127,535.2248,7546.0,7232.0,314.0,45.876009244855
128,537.8633,7529.0,7250.0,279.0,40.333147157944175
129,540.5009,7594.0,7323.0,271.0,35.08754089438709
130,543.1377,7634.0,7390.0,244.0,30.104990393373143
131,545.7735,7625.0,7318.0,307.0,25.327191832228554
