Data Generated by,Optosky
File Version:,1.2
标题,2407261600225 80mw 1000ms
操作员,admin
描述,60度
扫描时间,2024/7/26 16:00:22
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,8839.0,8108.0,731.0,327.9381544297728
1,195.9722,8839.0,8108.0,731.0,325.62639976309356
2,198.7144,8839.0,8108.0,731.0,322.855914661113
3,201.4558,8839.0,8108.0,731.0,319.6020533609997
4,204.1965,8839.0,8108.0,731.0,315.7883481260898
5,206.9364,8839.0,8108.0,731.0,311.3540564599739
6,209.6757,8839.0,8108.0,731.0,306.21246609102104
7,212.4141,8839.0,8108.0,731.0,300.2824655192219
8,215.1519,8839.0,8108.0,731.0,293.6210029940408
9,217.8889,8889.0,8203.0,686.0,286.3264254328226
10,220.6251,8777.0,8102.0,675.0,278.46934172971817
11,223.3606,8693.0,8046.0,647.0,270.1409531910629
12,226.0954,8682.0,8032.0,650.0,261.403017872284
13,228.8294,8585.0,7960.0,625.0,252.29579400649692
14,231.5626,8516.0,7907.0,609.0,242.9213754487541
15,234.2951,8588.0,7911.0,677.0,233.3785447759417
16,237.0269,8596.0,7917.0,679.0,223.69182616755845
17,239.7578,8489.0,7920.0,569.0,213.8811880232246
18,242.4881,8488.0,7938.0,550.0,203.94226206204254
19,245.2175,8454.0,7887.0,567.0,193.86116215984018
20,247.9463,8414.0,7831.0,583.0,183.71520961871627
21,250.6742,8448.0,7822.0,626.0,173.5963582659176
22,253.4014,8442.0,7826.0,616.0,163.56612894985145
23,256.1278,8328.0,7885.0,443.0,153.69348650539837
24,258.8534,8315.0,7893.0,422.0,143.992781071597
25,261.5783,8351.0,7875.0,476.0,134.44686812285494
26,264.3024,8426.0,7947.0,479.0,125.10831743087397
27,267.0258,8327.0,7879.0,448.0,116.02256654036583
28,269.7483,8226.0,7798.0,428.0,107.16277740792904
29,272.4701,8289.0,7880.0,409.0,98.51499064125404
30,275.1911,8307.0,7867.0,440.0,90.02227104801803
31,277.9114,8269.0,7773.0,496.0,81.6262251104387
32,280.6308,8327.0,7817.0,510.0,73.43656098722221
33,283.3495,8393.0,7861.0,532.0,65.6022178856022
34,286.0674,8340.0,7896.0,444.0,58.23031731221071
35,288.7845,8271.0,7853.0,418.0,51.445867381932004
36,291.5008,8282.0,7866.0,416.0,45.304752046985094
37,294.2163,8369.0,7940.0,429.0,39.82048640078887
38,296.9311,8494.0,8034.0,460.0,35.0953159536381
39,299.645,8366.0,7884.0,482.0,31.208672085842117
40,302.3582,8211.0,7810.0,401.0,28.138220019272055
41,305.0706,8205.0,7829.0,376.0,25.860909279207668
42,307.7822,8352.0,7976.0,376.0,24.25201116141603
43,310.4929,8351.0,7967.0,384.0,23.170128142744453
44,313.2029,8283.0,7886.0,397.0,22.670411251582827
45,315.9121,8277.0,7949.0,328.0,22.81116358943424
46,318.6205,8192.0,7888.0,304.0,23.648917200069302
47,321.3281,8282.0,7946.0,336.0,25.24649822224619
48,324.0349,8389.0,8001.0,388.0,27.413238484783314
49,326.7409,8303.0,7853.0,450.0,29.879882775900196
50,329.4461,8234.0,7806.0,428.0,32.5020578598643
51,332.1504,8200.0,7816.0,384.0,35.10722321090934
52,334.854,8243.0,7887.0,356.0,37.53914625905682
53,337.5567,8220.0,7832.0,388.0,39.71114043783089
54,340.2587,8197.0,7806.0,391.0,41.374668549343006
55,342.9598,8209.0,7837.0,372.0,42.3186696176961
56,345.6601,8234.0,7854.0,380.0,42.63948083273113
57,348.3596,8195.0,7827.0,368.0,42.47207638761114
58,351.0583,8116.0,7792.0,324.0,42.08483348919405
