Data Generated by,Optosky
File Version:,1.2
标题,2407261727141 80mw 1000ms
操作员,admin
描述,90度
扫描时间,2024/7/26 17:27:14
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,11056.0,10469.0,587.0,229.03200582895897
1,195.9722,11056.0,10469.0,587.0,228.33537703871247
2,198.7144,11056.0,10469.0,587.0,227.2939279214445
3,201.4558,11056.0,10469.0,587.0,225.8746003096407
4,204.1965,11056.0,10469.0,587.0,224.00668814145897
5,206.9364,11056.0,10469.0,587.0,221.64033807133265
6,209.6757,11056.0,10469.0,587.0,218.6851764636445
7,212.4141,11056.0,10469.0,587.0,215.05803385134016
8,215.1519,11056.0,10469.0,587.0,210.82171033344403
9,217.8889,11148.0,10610.0,538.0,206.07582777580117
10,220.6251,10981.0,10429.0,552.0,200.90670568166212
11,223.3606,10929.0,10327.0,602.0,195.42247279380288
12,226.0954,10903.0,10346.0,557.0,189.66648400563457
13,228.8294,10880.0,10334.0,546.0,183.65696383373347
14,231.5626,10792.0,10297.0,495.0,177.48147501336314
15,234.2951,10788.0,10248.0,540.0,171.21970583702387
16,237.0269,10814.0,10251.0,563.0,164.90839884527978
17,239.7578,10741.0,10213.0,528.0,158.59614994757197
18,242.4881,10676.0,10149.0,527.0,152.26874700468917
19,245.2175,10642.0,10098.0,544.0,145.9046407026809
20,247.9463,10632.0,10110.0,522.0,139.61267195488225
21,250.6742,10581.0,10105.0,476.0,133.507416580089
22,253.4014,10622.0,10082.0,540.0,127.68990341759418
23,256.1278,10598.0,10026.0,572.0,122.26876466661054
24,258.8534,10549.0,9999.0,550.0,117.20333927423219
25,261.5783,10466.0,10063.0,403.0,112.393360286745
26,264.3024,10586.0,10168.0,418.0,107.84355657762346
27,267.0258,10597.0,10121.0,476.0,103.53814256522095
28,269.7483,10413.0,10015.0,398.0,99.39937387441786
