Data Generated by,Optosky
File Version:,1.2
标题,2407261449174 80mw 1000ms
操作员,admin
描述,
扫描时间,2024/7/26 14:49:17
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,9173.0,8441.0,732.0,355.47137222175877
1,195.9722,9173.0,8441.0,732.0,353.06401402413115
2,198.7144,9173.0,8441.0,732.0,350.0384606892899
3,201.4558,9173.0,8441.0,732.0,346.3349080278357
4,204.1965,9173.0,8441.0,732.0,341.8158655532101
5,206.9364,9173.0,8441.0,732.0,336.37673082530284
6,209.6757,9173.0,8441.0,732.0,329.85140335492997
7,212.4141,9173.0,8441.0,732.0,322.0888026845317
8,215.1519,9173.0,8441.0,732.0,313.18862352640076
9,217.8889,9288.0,8564.0,724.0,303.31790702314225
10,220.6251,9115.0,8464.0,651.0,292.6278384696339
11,223.3606,9054.0,8405.0,649.0,281.3062688097729
12,226.0954,9077.0,8344.0,733.0,269.4380945280791
13,228.8294,8976.0,8296.0,680.0,257.07365693203224
14,231.5626,8882.0,8286.0,596.0,244.35703825926345
15,234.2951,8851.0,8290.0,561.0,231.42547079815338
16,237.0269,8851.0,8252.0,599.0,218.37668235292014
17,239.7578,8748.0,8252.0,496.0,205.321756381747
18,242.4881,8758.0,8296.0,462.0,192.3021212141785
19,245.2175,8753.0,8293.0,460.0,179.3518790149337
20,247.9463,8713.0,8259.0,454.0,166.62659352875264
21,250.6742,8717.0,8250.0,467.0,154.2819873586857
22,253.4014,8666.0,8246.0,420.0,142.47486898361888
23,256.1278,8637.0,8186.0,451.0,131.3581962367998
24,258.8534,8680.0,8182.0,498.0,120.92462369810686
25,261.5783,8664.0,8235.0,429.0,111.11177115618132
26,264.3024,8746.0,8327.0,419.0,101.90270465190396
27,267.0258,8701.0,8247.0,454.0,93.25805981087584
28,269.7483,8580.0,8143.0,437.0,85.14857431476916
29,272.4701,8600.0,8195.0,405.0,77.565296586945
30,275.1911,8600.0,8219.0,381.0,70.43724433305795
31,277.9114,8575.0,8181.0,394.0,63.69339606150826
32,280.6308,8614.0,8191.0,423.0,57.355584417350876
33,283.3495,8624.0,8215.0,409.0,51.46040033662818
