Data Generated by,Optosky
File Version:,1.2
标题,2407261321271 80mw 1000ms
操作员,admin
描述,5度
扫描时间,2024/7/26 13:21:27
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,12832.0,12284.0,548.0,260.48231768083815
1,195.9722,12832.0,12284.0,548.0,259.35787485704856
2,198.7144,12832.0,12284.0,548.0,257.7433620732007
3,201.4558,12832.0,12284.0,548.0,255.75496797939175
4,204.1965,12832.0,12284.0,548.0,252.8233411615853
5,206.9364,12832.0,12284.0,548.0,248.52673913528685
6,209.6757,12832.0,12284.0,548.0,244.00262113757765
7,212.4141,12832.0,12284.0,548.0,239.39393139209957
8,215.1519,12832.0,12284.0,548.0,236.0267720030644
9,217.8889,12964.0,12375.0,589.0,235.06039935588475
10,220.6251,12886.0,12265.0,621.0,230.12957911339623
11,223.3606,12689.0,12252.0,437.0,221.45713892525927
12,226.0954,12656.0,12244.0,412.0,209.45350638649865
13,228.8294,12568.0,12116.0,452.0,176.9432001677925
14,231.5626,12474.0,12031.0,443.0,151.95702273761313
15,234.2951,12505.0,12044.0,461.0,191.9061149782565
16,237.0269,12526.0,11940.0,586.0,238.8025993844936
17,239.7578,12488.0,11872.0,616.0,198.31606439298818
18,242.4881,12296.0,11970.0,326.0,129.06188067046864
19,245.2175,12263.0,11929.0,334.0,121.94424573122359
20,247.9463,12304.0,11880.0,424.0,143.649766474146
21,250.6742,12267.0,11866.0,401.0,142.86199402724918
22,253.4014,12388.0,11880.0,508.0,131.28233297921324
23,256.1278,12272.0,11787.0,485.0,124.83975244287275
24,258.8534,12141.0,11762.0,379.0,119.36058814274813
25,261.5783,12198.0,11918.0,280.0,111.43838743821406
26,264.3024,12267.0,11947.0,320.0,103.28855969914835
27,267.0258,12264.0,11840.0,424.0,96.90848688723244
28,269.7483,12184.0,11751.0,433.0,91.80188982865106
29,272.4701,12182.0,11777.0,405.0,87.23871755343902
30,275.1911,12283.0,11829.0,454.0,82.77021191932369
31,277.9114,12201.0,11741.0,460.0,77.80237045732112
32,280.6308,12116.0,11694.0,422.0,72.60624618816053
33,283.3495,12102.0,11827.0,275.0,67.70539545473697
34,286.0674,12067.0,11704.0,363.0,63.25977320778341
35,288.7845,12025.0,11630.0,395.0,59.461245456509985
36,291.5008,12108.0,11776.0,332.0,56.322425515167815
37,294.2163,12190.0,11827.0,363.0,53.74466055526064
38,296.9311,12273.0,11879.0,394.0,51.8439052480678
39,299.645,12165.0,11868.0,297.0,50.706380548747525
40,302.3582,12046.0,11721.0,325.0,50.302674099329025
41,305.0706,12078.0,11762.0,316.0,50.64230898388746
42,307.7822,12187.0,11815.0,372.0,51.51931885851091
43,310.4929,12196.0,11891.0,305.0,52.708176391688006
44,313.2029,12016.0,11742.0,274.0,54.372979891904386
45,315.9121,12067.0,11704.0,363.0,56.680528272087855
46,318.6205,12061.0,11747.0,314.0,59.80287864316338
47,321.3281,12133.0,11785.0,348.0,63.92774082987437
48,324.0349,12228.0,11859.0,369.0,68.72313112462369
49,326.7409,12038.0,11765.0,273.0,73.67904077340869
50,329.4461,11965.0,11710.0,255.0,78.55993994204894
51,332.1504,11934.0,11741.0,193.0,83.08294864227098
52,334.854,12020.0,11738.0,282.0,86.90594923437551
53,337.5567,12066.0,11765.0,301.0,89.80590329595465
54,340.2587,12041.0,11756.0,285.0,91.32887553262297
55,342.9598,12026.0,11677.0,349.0,91.08035083354214
56,345.6601,12005.0,11666.0,339.0,89.27587104237932
57,348.3596,12018.0,11651.0,367.0,86.28853277469828
58,351.0583,11949.0,11572.0,377.0,82.57969569644435
59,353.7562,12030.0,11684.0,346.0,78.67883324128047
60,356.4532,12307.0,11994.0,313.0,74.79814055121494
61,359.1495,12218.0,11955.0,263.0,71.1213060322685
62,361.8449,11867.0,11601.0,266.0,67.80316144689425
63,364.5395,11856.0,11634.0,222.0,65.00325491028589
64,367.2332,11901.0,11628.0,273.0,63.23120535719708
65,369.9262,11737.0,11505.0,232.0,62.9845407525246
66,372.6183,11689.0,11407.0,282.0,64.79158055671488
67,375.3095,11779.0,11460.0,319.0,69.22924410779407
68,378.0,11806.0,11471.0,335.0,76.2101861525711
69,380.6896,11774.0,11372.0,402.0,85.45482176097805
70,383.3784,11700.0,11340.0,360.0,97.18304539959433
71,386.0664,11792.0,11381.0,411.0,111.42955145350892
72,388.7535,11675.0,11308.0,367.0,128.20740064900136
73,391.4398,11533.0,11149.0,384.0,147.85441384875136
74,394.1252,11577.0,11156.0,421.0,169.48282329739968
75,396.8098,11532.0,11168.0,364.0,192.13444958938246
76,399.4936,11520.0,11122.0,398.0,216.87072022680192
77,402.1765,11593.0,11100.0,493.0,244.69708027528878
78,404.8586,11620.0,11124.0,496.0,276.60161170449504
79,407.5399,11492.0,11056.0,436.0,313.6618908883612
80,410.2203,11568.0,11030.0,538.0,354.02068787248135
81,412.8998,11696.0,10973.0,723.0,394.6672181908583
82,415.5785,11714.0,10986.0,728.0,434.420759381083
83,418.2564,11660.0,10836.0,824.0,471.8121490054732
84,420.9334,11582.0,10738.0,844.0,504.24531818441335
85,423.6096,11640.0,10819.0,821.0,529.7518905054125
86,426.2849,11632.0,10772.0,860.0,545.1718452125616
87,428.9593,11453.0,10639.0,814.0,547.4520866217877
88,431.6329,11510.0,10702.0,808.0,537.9754927050599
89,434.3057,11485.0,10659.0,826.0,519.415578643121
90,436.9775,11460.0,10689.0,771.0,493.38595374421465
91,439.6486,11276.0,10632.0,644.0,462.1660611030844
92,442.3187,11000.0,10351.0,649.0,427.2292976358933
93,444.9881,10885.0,10289.0,596.0,389.2868405535163
94,447.6565,10602.0,10123.0,479.0,351.2561097288432
95,450.3241,10458.0,10014.0,444.0,315.88104327037445
96,452.9908,10518.0,10050.0,468.0,282.93633657390114
97,455.6567,10592.0,10035.0,557.0,251.92739766338335
98,458.3217,10614.0,10116.0,498.0,221.35617046230473
99,460.9858,10455.0,10067.0,388.0,189.4870291333025
100,463.6491,10311.0,9951.0,360.0,157.97283325169582
101,466.3114,10159.0,9853.0,306.0,128.98694873248806
102,468.973,10094.0,9833.0,261.0,104.40001122151526
103,471.6336,10023.0,9750.0,273.0,86.13367795544436
104,474.2934,10033.0,9697.0,336.0,73.51234110420124
105,476.9523,10079.0,9833.0,246.0,65.09337176624932
106,479.6103,10057.0,9880.0,177.0,59.99523792677079
107,482.2675,10037.0,9738.0,299.0,57.11319131747136
108,484.9237,10015.0,9719.0,296.0,56.24148479761886
109,487.5791,9868.0,9550.0,318.0,57.52051390049286
110,490.2336,9781.0,9526.0,255.0,60.417121296681245
111,492.8873,9738.0,9456.0,282.0,64.44001850989989
112,495.54,9770.0,9469.0,301.0,69.26026955619129
113,498.1919,9917.0,9701.0,216.0,74.45260136982311
114,500.8429,9942.0,9663.0,279.0,79.97844133328952
115,503.493,9910.0,9623.0,287.0,85.84284231791572
116,506.1422,9965.0,9780.0,185.0,91.466613362606
117,508.7905,9937.0,9734.0,203.0,96.27001645926678
118,511.438,9828.0,9656.0,172.0,99.67012688775029
119,514.0845,9753.0,9547.0,206.0,101.09922467424556
120,516.7302,9751.0,9477.0,274.0,100.72412339289967
121,519.375,9850.0,9590.0,260.0,98.95929867246966
122,522.0188,9964.0,9739.0,225.0,96.01129835649252
123,524.6618,10034.0,9818.0,216.0,92.18608973664821
124,527.3039,10170.0,9853.0,317.0,87.72520196035364
125,529.9451,10163.0,9870.0,293.0,82.77124576492815
126,532.5854,10197.0,9959.0,238.0,77.75159051837701
127,535.2248,10098.0,9887.0,211.0,73.08338862764944
128,537.8633,10089.0,9857.0,232.0,68.76595904266011
129,540.5009,10175.0,9920.0,255.0,64.73382838888458
130,543.1377,10199.0,9957.0,242.0,60.864912202311814
131,545.7735,10222.0,9985.0,237.0,56.988440994761824
132,548.4084,10427.0,10219.0,208.0,53.254867742112936
133,551.0424,10598.0,10384.0,214.0,49.87674993725715
134,553.6755,10669.0,10392.0,277.0,46.957257498276164
135,556.3077,10715.0,10516.0,199.0,44.604970384653164
136,558.9389,10631.0,10388.0,243.0,42.779799882564994
137,561.5693,10423.0,10157.0,266.0,41.36868736891198
138,564.1988,10359.0,10142.0,217.0,40.360701895437074
139,566.8274,10240.0,10038.0,202.0,39.72709601389417
140,569.455,10141.0,9876.0,265.0,39.37194596987771
141,572.0818,10055.0,9828.0,227.0,39.216614195596186
142,574.7076,9869.0,9724.0,145.0,39.116918976738454
143,577.3325,9777.0,9533.0,244.0,38.92828685560249
144,579.9565,9670.0,9391.0,279.0,38.683160689734784
145,582.5796,9406.0,9172.0,234.0,38.45359073971995
146,585.2018,9207.0,9012.0,195.0,38.294889367429434
147,587.8231,9152.0,8978.0,174.0,38.28158153254334
148,590.4434,9096.0,8958.0,138.0,38.40278868598405
149,593.0628,9263.0,9117.0,146.0,38.61785832727043
150,595.6813,9601.0,9388.0,213.0,38.945618730155026
151,598.2989,9873.0,9664.0,209.0,39.39852857056473
152,600.9156,10022.0,9881.0,141.0,39.96869987561922
153,603.5313,10312.0,10183.0,129.0,40.65777663063987
154,606.1461,10535.0,10320.0,215.0,41.425999128980465
155,608.76,10554.0,10318.0,236.0,42.23006838026064
156,611.373,10632.0,10426.0,206.0,43.09904343867914
157,613.9851,10467.0,10296.0,171.0,44.06517506478909
158,616.5962,10554.0,10411.0,143.0,45.16098825791004
159,619.2064,10697.0,10546.0,151.0,46.42231796233188
160,621.8157,10743.0,10493.0,250.0,47.80148847760743
161,624.424,10556.0,10337.0,219.0,49.22365818968271
162,627.0314,10357.0,10202.0,155.0,50.65501479136378
163,629.6379,10279.0,10049.0,230.0,52.05313634182138
164,632.2434,10210.0,9997.0,213.0,53.374101009165585
165,634.8481,10231.0,10042.0,189.0,54.59350185781785
166,637.4517,10330.0,10080.0,250.0,55.643308017755864
167,640.0545,10340.0,10107.0,233.0,56.4624195186517
168,642.6563,10289.0,10178.0,111.0,57.08304641161059
169,645.2572,10273.0,10114.0,159.0,57.55338128441931
170,647.8571,10253.0,10013.0,240.0,57.93650766011809
171,650.4561,10127.0,9902.0,225.0,58.308801834347406
172,653.0542,9886.0,9717.0,169.0,58.666830828251186
173,655.6514,9682.0,9489.0,193.0,58.991184081651575
174,658.2475,9618.0,9547.0,71.0,59.29944051653946
175,660.8428,9614.0,9500.0,114.0,59.60298972429449
176,663.4371,9741.0,9519.0,222.0,59.94228835598193
177,666.0305,9807.0,9616.0,191.0,60.381939514586
178,668.6229,9871.0,9730.0,141.0,60.92738434736583
179,671.2144,9903.0,9739.0,164.0,61.582206223673786
180,673.8049,9883.0,9658.0,225.0,62.424799073375276
181,676.3945,9790.0,9591.0,199.0,63.52647693407544
182,678.9832,9815.0,9638.0,177.0,64.9591195038504
183,681.5709,10001.0,9793.0,208.0,66.79210324194672
184,684.1577,9975.0,9759.0,216.0,68.97288070292046
185,686.7435,9943.0,9707.0,236.0,71.3952977763818
186,689.3283,10061.0,9811.0,250.0,74.009786166683
187,691.9122,10045.0,9875.0,170.0,76.75288243914481
188,694.4952,10142.0,9986.0,156.0,79.50328361624032
189,697.0772,10213.0,10033.0,180.0,82.15001610839298
190,699.6583,10061.0,9859.0,202.0,84.56899226277542
191,702.2384,9960.0,9745.0,215.0,86.6228959053263
192,704.8175,10054.0,9805.0,249.0,88.30236039140827
193,707.3957,10153.0,9947.0,206.0,89.65736148119043
194,709.973,10040.0,9868.0,172.0,90.61118735651253
195,712.5493,9864.0,9707.0,157.0,91.1089801162941
196,715.1246,9838.0,9770.0,68.0,91.22324386020084
197,717.699,9851.0,9710.0,141.0,90.99251559232418
198,720.2724,9928.0,9705.0,223.0,90.5657834441626
199,722.8449,9954.0,9784.0,170.0,90.1089210688266
200,725.4164,9962.0,9777.0,185.0,89.413345105968
201,727.9869,10081.0,9855.0,226.0,88.19987461659126
202,730.5565,10059.0,9825.0,234.0,86.33431078466779
203,733.1252,9986.0,9706.0,280.0,83.62657714356112
204,735.6928,9995.0,9734.0,261.0,80.07230743176463
205,738.2595,9997.0,9716.0,281.0,75.81148929045735
206,740.8253,9838.0,9615.0,223.0,70.58590381180727
207,743.3901,9931.0,9694.0,237.0,64.21744218484604
208,745.9539,9987.0,9777.0,210.0,57.0151268452669
209,748.5167,9977.0,9859.0,118.0,49.22504709000143
210,751.0786,10002.0,9874.0,128.0,41.55611456384557
211,753.6395,10011.0,9901.0,110.0,34.7960299363854
212,756.1995,10159.0,9975.0,184.0,28.51273628042842
213,758.7585,10177.0,10048.0,129.0,22.15768496797439
214,761.3165,10192.0,10023.0,169.0,15.48164330912494
215,763.8735,10223.0,10015.0,208.0,8.081972336713887
216,766.4296,10111.0,9982.0,129.0,0.6630204902906595
