Data Generated by,Optosky
File Version:,1.2
标题,2407261319544 80mw 1000ms
操作员,admin
描述,5度
扫描时间,2024/7/26 13:19:54
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,12758.0,12280.0,478.0,215.3998826974547
1,195.9722,12758.0,12280.0,478.0,214.50576567243408
2,198.7144,12758.0,12280.0,478.0,213.09102606566705
3,201.4558,12758.0,12280.0,478.0,210.95597478259262
4,204.1965,12758.0,12280.0,478.0,208.22817724218086
5,206.9364,12758.0,12280.0,478.0,204.99186105544973
6,209.6757,12758.0,12280.0,478.0,201.7590142669861
7,212.4141,12758.0,12280.0,478.0,199.0046464659536
8,215.1519,12758.0,12280.0,478.0,196.3330209116564
9,217.8889,12933.0,12440.0,493.0,193.31479957713734
10,220.6251,12793.0,12317.0,476.0,189.16949425700957
11,223.3606,12696.0,12142.0,554.0,183.12695334594846
12,226.0954,12690.0,12133.0,557.0,175.72981759225172
13,228.8294,12585.0,12178.0,407.0,167.73513887230988
14,231.5626,12530.0,12162.0,368.0,159.99167532326462
15,234.2951,12536.0,12200.0,336.0,153.399906873188
16,237.0269,12478.0,12191.0,287.0,147.69794252972548
17,239.7578,12375.0,12074.0,301.0,142.36066015415156
18,242.4881,12378.0,11935.0,443.0,136.99712857272743
19,245.2175,12369.0,11889.0,480.0,131.15378126120817
20,247.9463,12234.0,11864.0,370.0,125.05587166229462
21,250.6742,12269.0,11859.0,410.0,119.1070409624259
22,253.4014,12341.0,11925.0,416.0,113.50608141568937
23,256.1278,12221.0,11901.0,320.0,108.4784397549161
24,258.8534,12196.0,11900.0,296.0,103.9511961473249
25,261.5783,12277.0,11888.0,389.0,99.72843458928583
26,264.3024,12296.0,11887.0,409.0,95.7997378057943
27,267.0258,12186.0,11792.0,394.0,92.135280812418
28,269.7483,12138.0,11762.0,376.0,88.67051142157298
29,272.4701,12204.0,11816.0,388.0,85.39066686300113
30,275.1911,12242.0,11864.0,378.0,82.16643557075794
31,277.9114,12214.0,11819.0,395.0,78.87085302117664
32,280.6308,12199.0,11776.0,423.0,75.62294328119094
33,283.3495,12185.0,11765.0,420.0,72.58323211765213
34,286.0674,12112.0,11726.0,386.0,69.89405536541004
35,288.7845,12059.0,11744.0,315.0,67.72887689086345
36,291.5008,12153.0,11787.0,366.0,66.09168027339973
37,294.2163,12157.0,11846.0,311.0,64.92378082050504
38,296.9311,12244.0,11994.0,250.0,64.31210743128742
39,299.645,12234.0,11879.0,355.0,64.30846864388879
40,302.3582,12053.0,11648.0,405.0,64.89168707400464
41,305.0706,12032.0,11749.0,283.0,66.08231505718607
42,307.7822,12170.0,11853.0,317.0,67.68921730611201
43,310.4929,12196.0,11891.0,305.0,69.50523891899137
44,313.2029,11959.0,11791.0,168.0,71.69734019503132
45,315.9121,12004.0,11686.0,318.0,74.43459638441006
46,318.6205,12046.0,11636.0,410.0,77.8903105419819
47,321.3281,12079.0,11710.0,369.0,82.25340594176204
48,324.0349,12114.0,11785.0,329.0,87.21277599992898
49,326.7409,12057.0,11755.0,302.0,92.28096720442379
50,329.4461,12028.0,11685.0,343.0,97.24170417144268
51,332.1504,11987.0,11708.0,279.0,101.83553702891808
52,334.854,12039.0,11795.0,244.0,105.71945363383426
53,337.5567,12067.0,11766.0,301.0,108.65965351723611
54,340.2587,11948.0,11747.0,201.0,110.22334979775508
55,342.9598,11940.0,11758.0,182.0,110.03082721107398
56,345.6601,11961.0,11658.0,303.0,108.29213421059542
57,348.3596,11935.0,11655.0,280.0,105.38992769802239
58,351.0583,11851.0,11545.0,306.0,101.74536131711241
59,353.7562,12050.0,11651.0,399.0,97.84106368918783
60,356.4532,12240.0,11937.0,303.0,93.95961543313742
61,359.1495,12212.0,11823.0,389.0,90.3643799202049
62,361.8449,11879.0,11525.0,354.0,87.25372316350372
63,364.5395,11919.0,11576.0,343.0,84.84354382017042
64,367.2332,11959.0,11649.0,310.0,83.59312183492999
65,369.9262,11818.0,11560.0,258.0,83.88281590386956
66,372.6183,11740.0,11433.0,307.0,86.26598575959808
67,375.3095,11797.0,11480.0,317.0,91.33531895850928
68,378.0,11781.0,11488.0,293.0,98.838442862194
69,380.6896,11695.0,11454.0,241.0,108.35169270538114
70,383.3784,11681.0,11328.0,353.0,119.9098380062836
71,386.0664,11748.0,11336.0,412.0,133.35198511087387
72,388.7535,11684.0,11292.0,392.0,148.84309551944085
73,391.4398,11618.0,11142.0,476.0,166.99287176059738
74,394.1252,11629.0,11167.0,462.0,186.99954958555045
75,396.8098,11596.0,11112.0,484.0,208.03331308053515
76,399.4936,11540.0,11116.0,424.0,231.34797104762876
77,402.1765,11628.0,11186.0,442.0,258.05975924682235
78,404.8586,11649.0,11163.0,486.0,289.4605358989847
79,407.5399,11560.0,11015.0,545.0,326.9186003174297
80,410.2203,11596.0,11084.0,512.0,368.373534833751
81,412.8998,11648.0,11054.0,594.0,410.5178088259986
82,415.5785,11668.0,10997.0,671.0,451.9160519914426
83,418.2564,11668.0,10933.0,735.0,490.76551411577736
84,420.9334,11510.0,10761.0,749.0,524.46205416717
85,423.6096,11644.0,10830.0,814.0,551.1407976825928
86,426.2849,11708.0,10885.0,823.0,567.3951185607601
87,428.9593,11530.0,10702.0,828.0,570.0158018398047
88,431.6329,11456.0,10562.0,894.0,560.3683359153382
89,434.3057,11437.0,10558.0,879.0,541.0071674259309
90,436.9775,11456.0,10619.0,837.0,514.0502676492963
91,439.6486,11340.0,10504.0,836.0,482.2307147911292
92,442.3187,11035.0,10267.0,768.0,446.58482926921903
93,444.9881,10894.0,10227.0,667.0,407.4506400119883
94,447.6565,10680.0,10073.0,607.0,366.7830837607453
95,450.3241,10508.0,9973.0,535.0,326.4092710064626
96,452.9908,10482.0,10000.0,482.0,286.98648557274987
97,455.6567,10555.0,10139.0,416.0,249.16038846654592
98,458.3217,10597.0,10233.0,364.0,212.77794377477866
99,460.9858,10418.0,10142.0,276.0,177.50400820382524
100,463.6491,10266.0,9996.0,270.0,144.64423414484267
101,466.3114,10191.0,9856.0,335.0,115.61002779393786
102,468.973,10063.0,9857.0,206.0,91.65920659439617
103,471.6336,10050.0,9722.0,328.0,73.99656759437762
104,474.2934,10055.0,9717.0,338.0,62.17528353077788
105,476.9523,10035.0,9802.0,233.0,55.20003792089564
106,479.6103,10025.0,9732.0,293.0,52.441282303258454
107,482.2675,10007.0,9732.0,275.0,53.043816300999396
108,484.9237,9951.0,9731.0,220.0,56.491145441575185
109,487.5791,9783.0,9576.0,207.0,62.466485399352756
