Data Generated by,Optosky,,,,
223,784.295,12080,11777,303,51.47652443782409
224,786.8433,12191,11875,316,61.49550095445119
225,789.3906,12059,11719,340,73.36390744669279
226,791.937,12114,11820,294,85.81163392405776
227,794.4824,12057,11783,274,97.41648564871485
228,797.0268,12084,11726,358,108.31554019723438
229,799.5702,11991,11677,314,118.82002812244635
230,802.1127,12037,11709,328,128.93871651913304
231,804.6542,12207,11774,433,139.09246604246317
232,807.1947,12262,11937,325,148.13303712823046
233,809.7342,12202,11917,285,154.58677127969005
234,812.2727,12019,11646,373,159.46035355317525
235,814.8103,12046,11690,356,163.06861835428694
236,817.3468,12145,11849,296,165.63107510478935
237,819.8824,12091,11740,351,168.69489532233
238,822.4171,12155,11754,401,167.648354046441
239,824.9507,12091,11767,324,159.03785419703289
240,827.4833,12057,11773,284,147.75778885885856
241,830.015,12096,11750,346,137.48365490329633
242,832.5457,12123,11842,281,140.36857288983006
243,835.0754,12103,11897,206,168.88695069521526
244,837.6041,12115,11787,328,213.59445411494934
245,840.1318,12228,11756,472,263.7309887476284
246,842.6586,12316,11793,523,308.62853822141847
247,845.1843,12299,11807,492,333.85490249531597
248,847.7091,12317,11822,495,352.4019212002919
249,850.2329,12313,11819,494,385.40044244698095
250,852.7557,12332,11846,486,428.1579407376638
251,855.2775,12502,11902,600,481.394386368854
252,857.7983,12607,11841,766,550.9844196377954
253,860.3181,12684,11907,777,629.8002551719125
254,862.8369,12914,11991,923,755.1536677594472
255,865.3548,13104,11751,1353,959.8878254736121
256,867.8716,13407,11875,1532,1197.7138245647654
257,870.3875,13535,11924,1611,1419.8893759092305
258,872.9024,14012,12119,1893,1551.3493479828228
259,875.4163,14259,12373,1886,1515.609480616721
260,877.9292,13458,11695,1763,1352.6672766577187
261,880.441,13133,11653,1480,1127.603630079537
262,882.952,12797,11646,1151,893.8712188528743
263,885.4619,12544,11583,961,713.5542524939948
264,887.9708,12299,11582,717,581.3237645151125
265,890.4787,12201,11699,502,467.31695822928197
266,892.9856,12116,11630,486,373.50114417716674
267,895.4915,12036,11577,459,302.60251552030417
268,897.9965,12104,11687,417,246.66282753859517
269,900.5004,12079,11611,468,196.8646262578926
270,903.0033,11866,11601,265,158.41292538167906
271,905.5053,11910,11769,141,139.86854648838658
272,908.0062,12092,11746,346,133.39561375260217
273,910.5062,11872,11579,293,128.8033611564825
274,913.0051,11905,11565,340,122.90108664815172
275,915.5031,12111,11706,405,114.00642478613211
276,918.0,12163,11806,357,102.2628108376298
277,920.4959,11988,11725,263,88.46551968406766
278,922.9909,11884,11663,221,77.05730525565775
279,925.4848,11838,11660,178,72.79376768694709
280,927.9778,11751,11631,120,73.06518934212325
281,930.4697,11875,11733,142,74.37677501176893
282,932.9607,11874,11676,198,72.65535135798137
283,935.4506,12062,11773,289,63.738433157228684
284,937.9395,11993,11708,285,50.36035884333538
285,940.4275,11849,11511,338,36.52625185520102
286,942.9144,11829,11468,361,26.08495105971696
287,945.4003,11783,11530,253,23.120802163177782
288,947.8853,11875,11546,329,26.04421264558163
289,950.3692,11764,11392,372,31.778946744674794
290,952.8521,11522,11319,203,38.3871434423421
291,955.334,11552,11322,230,43.55656813083122
