Data Generated by,Optosky
File Version:,1.2
标题,2407261503054 80mw 1000ms
操作员,admin
描述,
扫描时间,2024/7/26 15:03:05
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,15488.0,14530.0,958.0,484.90962724243747
1,195.9722,15488.0,14530.0,958.0,484.51022936462556
2,198.7144,15488.0,14530.0,958.0,483.7749846589386
3,201.4558,15488.0,14530.0,958.0,482.7075891331355
4,204.1965,15488.0,14530.0,958.0,480.02745483642883
5,206.9364,15488.0,14530.0,958.0,474.60268763581445
6,209.6757,15488.0,14530.0,958.0,465.08719703612866
7,212.4141,15488.0,14530.0,958.0,450.0866394946229
8,215.1519,15488.0,14530.0,958.0,430.59964417420804
9,217.8889,15608.0,14821.0,787.0,408.5431669274355
10,220.6251,15426.0,14589.0,837.0,384.53519203183754
11,223.3606,15272.0,14484.0,788.0,359.4559616846703
12,226.0954,15293.0,14492.0,801.0,334.99754679538603
13,228.8294,15142.0,14463.0,679.0,312.42887082960755
14,231.5626,14982.0,14372.0,610.0,293.88344485295727
15,234.2951,15009.0,14348.0,661.0,281.4773813940011
16,237.0269,14882.0,14276.0,606.0,274.2081883279983
17,239.7578,14776.0,14122.0,654.0,270.10986710970707
18,242.4881,14811.0,14145.0,666.0,268.1966410494874
19,245.2175,14771.0,14176.0,595.0,267.1122631594828
20,247.9463,14804.0,14120.0,684.0,265.6174862804737
21,250.6742,14741.0,14048.0,693.0,263.0185843564008
22,253.4014,14650.0,14045.0,605.0,257.4910852910431
23,256.1278,14671.0,14006.0,665.0,247.2767789540517
24,258.8534,14647.0,13986.0,661.0,233.08877367520898
25,261.5783,14624.0,13988.0,636.0,216.27556078830918
26,264.3024,14716.0,14022.0,694.0,197.81196439697942
27,267.0258,14571.0,13992.0,579.0,178.9827479475787
28,269.7483,14447.0,13911.0,536.0,160.39027305613828
29,272.4701,14581.0,13901.0,680.0,142.21452552503078
30,275.1911,14502.0,14006.0,496.0,125.48278192235583
31,277.9114,14330.0,13951.0,379.0,111.16414574696871
32,280.6308,14383.0,13902.0,481.0,99.09793134314789
33,283.3495,14447.0,13977.0,470.0,88.89636265686572
34,286.0674,14374.0,14030.0,344.0,80.15267236453008
35,288.7845,14371.0,13813.0,558.0,72.30593624671518
36,291.5008,14369.0,13787.0,582.0,65.33664383153886
37,294.2163,14427.0,13979.0,448.0,59.41481106368663
38,296.9311,14579.0,14240.0,339.0,54.351156631000265
39,299.645,14649.0,14133.0,516.0,49.970512996462766
40,302.3582,14385.0,13906.0,479.0,46.314098155159726
41,305.0706,14286.0,13991.0,295.0,43.43993514786449
42,307.7822,14459.0,14029.0,430.0,41.43379517585634
43,310.4929,14577.0,14134.0,443.0,40.41116637431028
44,313.2029,14386.0,13986.0,400.0,40.355080786997654
45,315.9121,14388.0,13921.0,467.0,41.188479348901055
46,318.6205,14341.0,13821.0,520.0,42.915863390876396
47,321.3281,14285.0,13850.0,435.0,45.53159735292829
48,324.0349,14580.0,14063.0,517.0,48.91006018075792
49,326.7409,14523.0,13917.0,606.0,52.894047155901895
50,329.4461,14440.0,13932.0,508.0,57.3611013882124
51,332.1504,14434.0,13912.0,522.0,62.16939099856469
52,334.854,14402.0,13965.0,437.0,67.18828725257258
53,337.5567,14478.0,14007.0,471.0,72.3227157680089
54,340.2587,14441.0,13848.0,593.0,77.40115985131189
55,342.9598,14330.0,13860.0,470.0,82.26821144211313
56,345.6601,14403.0,13950.0,453.0,86.93700181885903
57,348.3596,14475.0,13892.0,583.0,91.45437443078495
58,351.0583,14277.0,13693.0,584.0,95.8978587615445
59,353.7562,14374.0,13894.0,480.0,100.36976442323743
60,356.4532,14783.0,14342.0,441.0,104.84293147246517
61,359.1495,14723.0,14173.0,550.0,109.2692741892512
62,361.8449,14261.0,13774.0,487.0,113.64937903049258
63,364.5395,14194.0,13772.0,422.0,117.97713477583022
64,367.2332,14273.0,13811.0,462.0,122.31711015400725
65,369.9262,14187.0,13683.0,504.0,126.76713245941087
66,372.6183,14083.0,13538.0,545.0,131.34563183532447
67,375.3095,14124.0,13607.0,517.0,136.07792108678674
