Data Generated by,Optosky
File Version:,1.2
标题,2407261458392 80mw 1000ms
操作员,admin
描述,
扫描时间,2024/7/26 14:58:39
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,15810.0,14929.0,881.0,422.03674251084794
1,195.9722,15810.0,14929.0,881.0,418.81083960792074
2,198.7144,15810.0,14929.0,881.0,415.0963800494341
3,201.4558,15810.0,14929.0,881.0,410.8722590757093
4,204.1965,15810.0,14929.0,881.0,406.0676232287756
5,206.9364,15810.0,14929.0,881.0,400.6273503638959
6,209.6757,15810.0,14929.0,881.0,394.46839999811414
7,212.4141,15810.0,14929.0,881.0,387.5129120990925
8,215.1519,15810.0,14929.0,881.0,379.8204794306058
9,217.8889,15922.0,15079.0,843.0,371.48644579887775
10,220.6251,15860.0,15022.0,838.0,362.58162904957584
11,223.3606,15721.0,14804.0,917.0,353.20203851119703
12,226.0954,15639.0,14798.0,841.0,343.38825805453325
13,228.8294,15547.0,14712.0,835.0,333.15632496287856
14,231.5626,15407.0,14751.0,656.0,322.62149776081765
15,234.2951,15342.0,14677.0,665.0,311.879794028278
16,237.0269,15294.0,14616.0,678.0,300.96186192771324
17,239.7578,15271.0,14475.0,796.0,289.9172207642036
18,242.4881,15177.0,14434.0,743.0,278.6458128974008
19,245.2175,15025.0,14363.0,662.0,267.06429182952996
20,247.9463,15001.0,14392.0,609.0,255.32290441092582
21,250.6742,15013.0,14470.0,543.0,243.56176280385594
22,253.4014,15017.0,14531.0,486.0,232.0883741926366
23,256.1278,14852.0,14453.0,399.0,221.19806534694288
24,258.8534,14870.0,14315.0,555.0,210.72621056448105
25,261.5783,14910.0,14208.0,702.0,200.457338244433
26,264.3024,15042.0,14427.0,615.0,190.0830007865528
27,267.0258,15068.0,14327.0,741.0,179.2879779422614
28,269.7483,14848.0,14248.0,600.0,168.28227620807246
29,272.4701,14829.0,14269.0,560.0,157.38393065513816
30,275.1911,14989.0,14326.0,663.0,146.9028080581999
31,277.9114,14747.0,14225.0,522.0,137.17037640990642
32,280.6308,14764.0,14285.0,479.0,128.1544650785959
33,283.3495,14828.0,14294.0,534.0,119.73855136617806
34,286.0674,14650.0,14382.0,268.0,111.83824596926438
35,288.7845,14712.0,14277.0,435.0,104.35655478470841
36,291.5008,14785.0,14196.0,589.0,97.42111108770996
37,294.2163,14838.0,14324.0,514.0,91.20233027983686
38,296.9311,15058.0,14431.0,627.0,85.85062213435121
39,299.645,15047.0,14459.0,588.0,81.50945676148923
40,302.3582,14756.0,14280.0,476.0,78.1297609995916
41,305.0706,14712.0,14256.0,456.0,75.61268933139584
42,307.7822,14829.0,14300.0,529.0,73.85476838544027
43,310.4929,14927.0,14411.0,516.0,72.7329739162432
