Data Generated by,Optosky
File Version:,1.2
标题,2407261652585 80mw 1000ms
操作员,admin
描述,80度
扫描时间,2024/7/26 16:52:58
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,10933.0,10274.0,659.0,277.8673339941834
1,195.9722,10933.0,10274.0,659.0,276.34476177472976
2,198.7144,10933.0,10274.0,659.0,274.3788509858032
3,201.4558,10933.0,10274.0,659.0,271.9425399032855
4,204.1965,10933.0,10274.0,659.0,268.95279789754244
5,206.9364,10933.0,10274.0,659.0,265.3446143168993
6,209.6757,10933.0,10274.0,659.0,261.0219053497248
7,212.4141,10933.0,10274.0,659.0,255.89482380981897
8,215.1519,10933.0,10274.0,659.0,250.02818754703372
9,217.8889,11041.0,10365.0,676.0,243.53195671546538
10,220.6251,10932.0,10245.0,687.0,236.4868890297452
11,223.3606,10805.0,10160.0,645.0,228.99674401858468
12,226.0954,10754.0,10154.0,600.0,221.12683867870115
13,228.8294,10722.0,10069.0,653.0,212.91756744759255
14,231.5626,10694.0,10072.0,622.0,204.4801995312027
15,234.2951,10652.0,10122.0,530.0,195.92123219505342
16,237.0269,10556.0,10026.0,530.0,187.26770385419138
17,239.7578,10501.0,9985.0,516.0,178.54425138889556
18,242.4881,10493.0,9966.0,527.0,169.740829649772
19,245.2175,10447.0,9886.0,561.0,160.83677692981294
20,247.9463,10488.0,9861.0,627.0,151.9231346655032
21,250.6742,10444.0,9903.0,541.0,143.1061565015369
22,253.4014,10426.0,9982.0,444.0,134.45959796061373
23,256.1278,10346.0,9939.0,407.0,126.0660848767799
24,258.8534,10365.0,9919.0,446.0,117.92885003109978
25,261.5783,10446.0,9894.0,552.0,110.00961016176142
26,264.3024,10434.0,9981.0,453.0,102.35858122386007
27,267.0258,10333.0,9947.0,386.0,95.01536728796351
28,269.7483,10343.0,9823.0,520.0,87.93546858761408
29,272.4701,10424.0,9921.0,503.0,81.09358926909573
30,275.1911,10319.0,9959.0,360.0,74.40300744790892
31,277.9114,10265.0,9870.0,395.0,67.77658582715806
32,280.6308,10306.0,9863.0,443.0,61.344792721617495
33,283.3495,10303.0,9873.0,430.0,55.285952433299116
34,286.0674,10284.0,9900.0,384.0,49.73412150665724
35,288.7845,10277.0,9927.0,350.0,44.8474882586217
36,291.5008,10344.0,9927.0,417.0,40.67828402088279
37,294.2163,10469.0,10055.0,414.0,37.2241617159887
38,296.9311,10581.0,10124.0,457.0,34.60020790967966
39,299.645,10424.0,9994.0,430.0,32.89110690626225
40,302.3582,10290.0,9847.0,443.0,32.071428303545986
41,305.0706,10280.0,9867.0,413.0,32.125085354534235
42,307.7822,10406.0,9991.0,415.0,32.886661084469104
43,310.4929,10454.0,10002.0,452.0,34.172404028962525
44,313.2029,10310.0,9915.0,395.0,36.07020480379853
45,315.9121,10377.0,9897.0,480.0,38.66800041953567
46,318.6205,10282.0,9811.0,471.0,42.06443519144886
