Data Generated by,Optosky
File Version:,1.2
标题,2407261550124 80mw 1000ms
操作员,admin
描述,
扫描时间,2024/7/26 15:50:12
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,12278.0,11763.0,515.0,337.6251371070484
1,195.9722,12278.0,11763.0,515.0,336.680881992761
2,198.7144,12278.0,11763.0,515.0,335.28512744714806
3,201.4558,12278.0,11763.0,515.0,333.4176305638669
4,204.1965,12278.0,11763.0,515.0,330.9767523571177
5,206.9364,12278.0,11763.0,515.0,327.8671885310558
6,209.6757,12278.0,11763.0,515.0,324.0000266974699
7,212.4141,12278.0,11763.0,515.0,319.2907759125106
8,215.1519,12278.0,11763.0,515.0,313.7761764545184
9,217.8889,12512.0,11997.0,515.0,307.5619266101053
10,220.6251,12370.0,11822.0,548.0,300.6921566308343
11,223.3606,12248.0,11760.0,488.0,293.21008708680404
12,226.0954,12242.0,11772.0,470.0,285.2892575733186
13,228.8294,12037.0,11661.0,376.0,277.1005329021759
14,231.5626,11954.0,11464.0,490.0,268.7118211084874
15,234.2951,12005.0,11531.0,474.0,260.25862572929003
16,237.0269,11980.0,11576.0,404.0,251.7225976184857
17,239.7578,11855.0,11406.0,449.0,242.96194131792777
18,242.4881,11776.0,11382.0,394.0,234.37255787593364
19,245.2175,11833.0,11390.0,443.0,226.23264764104462
20,247.9463,11810.0,11335.0,475.0,218.27578373636743
21,250.6742,11882.0,11376.0,506.0,210.36208846271103
22,253.4014,11903.0,11427.0,476.0,201.50358759847515
23,256.1278,11730.0,11353.0,377.0,190.7974264613178
24,258.8534,11690.0,11323.0,367.0,179.0588310555658
25,261.5783,11651.0,11295.0,356.0,167.1933130952638
26,264.3024,11715.0,11420.0,295.0,156.77001382754807
27,267.0258,11639.0,11349.0,290.0,149.37039037938925
28,269.7483,11531.0,11264.0,267.0,144.0949353649703
29,272.4701,11563.0,11321.0,242.0,139.6402838356592
30,275.1911,11649.0,11281.0,368.0,134.61619454886207
31,277.9114,11527.0,11134.0,393.0,127.52676646768914
32,280.6308,11461.0,11180.0,281.0,119.01219974269353
33,283.3495,11581.0,11304.0,277.0,110.23368462987276
34,286.0674,11613.0,11270.0,343.0,101.96454568137233
35,288.7845,11464.0,11320.0,144.0,95.09507417782311
36,291.5008,11449.0,11331.0,118.0,89.47582502635294
37,294.2163,11696.0,11372.0,324.0,84.60756192537151
38,296.9311,11906.0,11542.0,364.0,80.43113301269041
39,299.645,11746.0,11433.0,313.0,76.8291939287498
40,302.3582,11494.0,11326.0,168.0,73.82852304239935
41,305.0706,11522.0,11321.0,201.0,71.57262828429641
42,307.7822,11562.0,11338.0,224.0,69.94479056145815
43,310.4929,11597.0,11457.0,140.0,68.80459979181292
