Data Generated by,Optosky
File Version:,1.2
标题,2407261415226 80mw 1000ms
操作员,admin
描述,20度
扫描时间,2024/7/26 14:15:22
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,12288.0,12320.0,-32.0,302.4332154891095
1,195.9722,12288.0,12320.0,-32.0,300.9679390221955
2,198.7144,12288.0,12320.0,-32.0,299.06493863670596
3,201.4558,12288.0,12320.0,-32.0,296.7022660014595
4,204.1965,12288.0,12320.0,-32.0,293.8136286118993
5,206.9364,12288.0,12320.0,-32.0,290.34074173575675
6,209.6757,12288.0,12320.0,-32.0,286.205469002512
7,212.4141,12288.0,12320.0,-32.0,281.3441669402843
8,215.1519,12288.0,12320.0,-32.0,275.7822102161962
9,217.8889,12419.0,12526.0,-107.0,269.5870892188207
10,220.6251,12282.0,12415.0,-133.0,262.85862727592723
11,223.3606,12199.0,12267.0,-68.0,255.6751319684985
12,226.0954,12221.0,12276.0,-55.0,248.14519638451154
13,228.8294,12116.0,12104.0,12.0,240.35332225888368
14,231.5626,12005.0,11973.0,32.0,232.14343552396306
15,234.2951,11989.0,12029.0,-40.0,223.61107972693816
16,237.0269,11931.0,12077.0,-146.0,214.78682586813156
17,239.7578,11798.0,11976.0,-178.0,205.0159256429669
18,242.4881,11744.0,11932.0,-188.0,195.37483796329587
19,245.2175,11740.0,11906.0,-166.0,188.05889634772402
20,247.9463,11786.0,11836.0,-50.0,180.8906476050635
21,250.6742,11723.0,11938.0,-215.0,170.31401850058066
22,253.4014,11699.0,11972.0,-273.0,158.61105054310147
23,256.1278,11624.0,11882.0,-258.0,149.30820388060383
24,258.8534,11684.0,11781.0,-97.0,141.16549030196924
25,261.5783,11691.0,11778.0,-87.0,132.24142318446047
26,264.3024,11719.0,11809.0,-90.0,123.0472552014253
27,267.0258,11637.0,11876.0,-239.0,114.25732596416618
28,269.7483,11464.0,11769.0,-305.0,105.72093776329226
29,272.4701,11570.0,11818.0,-248.0,97.31707260644168
30,275.1911,11587.0,11897.0,-310.0,89.13548227007362
31,277.9114,11455.0,11770.0,-315.0,81.25326119409448
32,280.6308,11446.0,11688.0,-242.0,73.72697195212481
33,283.3495,11472.0,11760.0,-288.0,66.62857704867672
34,286.0674,11465.0,11745.0,-280.0,59.99646982630017
35,288.7845,11417.0,11764.0,-347.0,53.86846423762674
36,291.5008,11421.0,11805.0,-384.0,48.32466798867195
37,294.2163,11623.0,11846.0,-223.0,43.4334130268545
38,296.9311,11796.0,12026.0,-230.0,39.283258467740396
39,299.645,11556.0,11962.0,-406.0,35.95539356785127
40,302.3582,11394.0,11778.0,-384.0,33.41905850899822
41,305.0706,11460.0,11796.0,-336.0,31.611649459266314
42,307.7822,11547.0,11867.0,-320.0,30.47992099051293
43,310.4929,11604.0,11905.0,-301.0,29.953662452005393
44,313.2029,11404.0,11761.0,-357.0,30.00403463151148
45,315.9121,11433.0,11773.0,-340.0,30.617468713433553
46,318.6205,11512.0,11764.0,-252.0,31.73670559332042
47,321.3281,11551.0,11817.0,-266.0,33.30636021803707
48,324.0349,11628.0,12000.0,-372.0,35.2958511714045
49,326.7409,11566.0,11882.0,-316.0,37.669987226587956
50,329.4461,11512.0,11808.0,-296.0,40.419024082341586
