Data Generated by,Optosky
File Version:,1.2
标题,2407261417366 80mw 1000ms
操作员,admin
描述,20度
扫描时间,2024/7/26 14:17:36
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,14479.0,13631.0,848.0,407.7962062706115
1,195.9722,14479.0,13631.0,848.0,404.95280757338094
2,198.7144,14479.0,13631.0,848.0,401.6155130289348
3,201.4558,14479.0,13631.0,848.0,397.76429876123893
4,204.1965,14479.0,13631.0,848.0,393.32416558599493
5,206.9364,14479.0,13631.0,848.0,388.23247364846327
6,209.6757,14479.0,13631.0,848.0,382.40927426380796
7,212.4141,14479.0,13631.0,848.0,375.77915961595403
8,215.1519,14479.0,13631.0,848.0,368.39200122802544
9,217.8889,14581.0,13800.0,781.0,360.3386892682544
10,220.6251,14509.0,13709.0,800.0,351.6773329988501
11,223.3606,14370.0,13462.0,908.0,342.4847303376826
12,226.0954,14221.0,13498.0,723.0,332.8275486398991
13,228.8294,14145.0,13497.0,648.0,322.75428676328744
14,231.5626,14054.0,13402.0,652.0,312.36720159857316
15,234.2951,14082.0,13416.0,666.0,301.76784581099224
16,237.0269,13951.0,13369.0,582.0,290.9735872265603
17,239.7578,13934.0,13159.0,775.0,279.98939908741966
18,242.4881,14000.0,13186.0,814.0,268.817131791626
19,245.2175,13859.0,13135.0,724.0,257.4487758234504
20,247.9463,13711.0,13058.0,653.0,245.94063079780628
21,250.6742,13727.0,13078.0,649.0,234.3669616871626
22,253.4014,13767.0,13105.0,662.0,222.76557579599123
23,256.1278,13640.0,13043.0,597.0,211.18093104873364
24,258.8534,13567.0,13017.0,550.0,199.65488231254895
25,261.5783,13671.0,12987.0,684.0,188.2144659079054
26,264.3024,13783.0,13103.0,680.0,176.93244263507583
27,267.0258,13681.0,13098.0,583.0,165.8817858657379
28,269.7483,13476.0,12993.0,483.0,155.06425267627375
29,272.4701,13535.0,12982.0,553.0,144.48196064099398
30,275.1911,13523.0,13107.0,416.0,134.12834692050066
31,277.9114,13383.0,12991.0,392.0,123.99196406594064
32,280.6308,13412.0,12931.0,481.0,114.1631230375773
33,283.3495,13434.0,12966.0,468.0,104.76391536351325
34,286.0674,13367.0,13013.0,354.0,95.86334346927215
35,288.7845,13311.0,12939.0,372.0,87.5389140080635
36,291.5008,13375.0,12951.0,424.0,79.87102962134696
37,294.2163,13512.0,13069.0,443.0,72.91315821028626
38,296.9311,13749.0,13267.0,482.0,66.7686039082263
39,299.645,13647.0,13202.0,445.0,61.52861676341761
40,302.3582,13397.0,12893.0,504.0,57.160381647928524
41,305.0706,13403.0,12869.0,534.0,53.60376569344889
42,307.7822,13462.0,12958.0,504.0,50.780298437212714
43,310.4929,13604.0,12995.0,609.0,48.59225909752921
44,313.2029,13411.0,12945.0,466.0,47.02658276575677
45,315.9121,13456.0,12998.0,458.0,46.08396366614821
46,318.6205,13427.0,12976.0,451.0,45.72725938496927
47,321.3281,13411.0,12933.0,478.0,45.92265641901049
48,324.0349,13540.0,13107.0,433.0,46.59444905624408
49,326.7409,13473.0,13004.0,469.0,47.64422049640555
50,329.4461,13408.0,12969.0,439.0,49.02668176144321
51,332.1504,13359.0,12910.0,449.0,50.69164254518458
52,334.854,13417.0,12918.0,499.0,52.548636661055966
53,337.5567,13408.0,12981.0,427.0,54.52294110107403
54,340.2587,13348.0,12974.0,374.0,56.49720691189519
