Data Generated by,Optosky
File Version:,1.2
标题,2407261426060 80mw 1000ms
操作员,admin
描述,25度
扫描时间,2024/7/26 14:26:06
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,14086.0,13305.0,781.0,347.0855535109778
1,195.9722,14086.0,13305.0,781.0,345.3205393918048
2,198.7144,14086.0,13305.0,781.0,343.0970344556345
3,201.4558,14086.0,13305.0,781.0,340.394857973952
4,204.1965,14086.0,13305.0,781.0,337.14078774679723
5,206.9364,14086.0,13305.0,781.0,333.2734615818183
6,209.6757,14086.0,13305.0,781.0,328.7150936941703
7,212.4141,14086.0,13305.0,781.0,323.3921681679098
8,215.1519,14086.0,13305.0,781.0,317.351686735769
9,217.8889,14150.0,13421.0,729.0,310.68033658496626
10,220.6251,13963.0,13245.0,718.0,303.4324940734256
11,223.3606,13925.0,13101.0,824.0,295.6805117077837
12,226.0954,13892.0,13167.0,725.0,287.48837371575337
13,228.8294,13787.0,13126.0,661.0,278.90256763156395
14,231.5626,13737.0,12940.0,797.0,270.0213922929225
15,234.2951,13685.0,13020.0,665.0,260.94257821182117
16,237.0269,13640.0,12998.0,642.0,251.68082231739277
17,239.7578,13554.0,12899.0,655.0,242.23818414498533
18,242.4881,13497.0,12889.0,608.0,232.61501492243661
19,245.2175,13490.0,12750.0,740.0,222.80199272106947
20,247.9463,13364.0,12718.0,646.0,212.85118443381418
21,250.6742,13436.0,12827.0,609.0,202.83249176049506
22,253.4014,13493.0,12857.0,636.0,192.77964517986
23,256.1278,13264.0,12744.0,520.0,182.73298358459525
24,258.8534,13275.0,12773.0,502.0,172.7335297497433
25,261.5783,13258.0,12685.0,573.0,162.8087965659016
26,264.3024,13402.0,12703.0,699.0,153.03031940349746
27,267.0258,13318.0,12680.0,638.0,143.470280976926
28,269.7483,13084.0,12594.0,490.0,134.13058312510822
29,272.4701,13235.0,12698.0,537.0,125.01298029666016
30,275.1911,13355.0,12728.0,627.0,116.11200743140236
31,277.9114,13127.0,12569.0,558.0,107.4173586902369
32,280.6308,13121.0,12684.0,437.0,99.0165715144136
33,283.3495,13092.0,12751.0,341.0,91.02805662052711
34,286.0674,13097.0,12681.0,416.0,83.51801900385304
35,288.7845,13123.0,12636.0,487.0,76.56070252289607
36,291.5008,13091.0,12618.0,473.0,70.23469438794467
37,294.2163,13234.0,12752.0,482.0,64.59254656789996
38,296.9311,13460.0,12939.0,521.0,59.734615453176524
39,299.645,13364.0,12892.0,472.0,55.74954714946367
40,302.3582,13163.0,12658.0,505.0,52.60429026149455
41,305.0706,13157.0,12655.0,502.0,50.23849901711169
42,307.7822,13201.0,12718.0,483.0,48.57509721246164
43,310.4929,13314.0,12753.0,561.0,47.518064971199586
44,313.2029,13136.0,12696.0,440.0,47.05203414084099
45,315.9121,13071.0,12677.0,394.0,47.17501739237081
46,318.6205,13052.0,12593.0,459.0,47.847719019110464
47,321.3281,13104.0,12703.0,401.0,49.03386403398462
48,324.0349,13225.0,12852.0,373.0,50.65909705967382
49,326.7409,13158.0,12746.0,412.0,52.62769771986711
50,329.4461,13117.0,12660.0,457.0,54.8942069076482
51,332.1504,12998.0,12542.0,456.0,57.40873674863845
52,334.854,13078.0,12643.0,435.0,60.08194979010318
