Data Generated by,Optosky
File Version:,1.2
标题,2407261408031 80mw 1000ms
操作员,admin
描述,
扫描时间,2024/7/26 14:08:03
积分时间(ms),1000
激光功率(mW),80
平均次数,1
采集模式,高精采集
采样间隔,500
设备型号,ATR2500
像素个数,2048
设备序列号,20230520025
Pixel,Raman Shift,Raw,Dark,Dark Subtracted,BaseLine Subtracted
0,193.2293,9587.0,8765.0,822.0,397.39988469220225
1,195.9722,9587.0,8765.0,822.0,394.57872353779777
2,198.7144,9587.0,8765.0,822.0,391.23453305639896
3,201.4558,9587.0,8765.0,822.0,387.34934950472297
4,204.1965,9587.0,8765.0,822.0,382.8442607107868
5,206.9364,9587.0,8765.0,822.0,377.65140200725585
6,209.6757,9587.0,8765.0,822.0,371.6896890097115
7,212.4141,9587.0,8765.0,822.0,364.8821211116705
8,215.1519,9587.0,8765.0,822.0,357.2778544232975
9,217.8889,9618.0,8815.0,803.0,348.96958719980535
10,220.6251,9447.0,8714.0,733.0,340.01155515935505
11,223.3606,9425.0,8665.0,760.0,330.47678630593634
12,226.0954,9420.0,8715.0,705.0,320.43914203273135
13,228.8294,9309.0,8638.0,671.0,309.9548414927297
14,231.5626,9271.0,8565.0,706.0,299.1332346549145
15,234.2951,9261.0,8597.0,664.0,288.08429503474486
16,237.0269,9216.0,8586.0,630.0,276.8209276756202
17,239.7578,9194.0,8467.0,727.0,265.33808013486095
18,242.4881,9148.0,8495.0,653.0,253.63931873552337
19,245.2175,9133.0,8508.0,625.0,241.71728654172637
20,247.9463,9108.0,8474.0,634.0,229.6194262182828
21,250.6742,9066.0,8487.0,579.0,217.41458875123362
22,253.4014,9097.0,8481.0,616.0,205.1284564075966
23,256.1278,9050.0,8429.0,621.0,192.79368951672515
24,258.8534,9024.0,8456.0,568.0,180.46933291564602
25,261.5783,8998.0,8543.0,455.0,168.20762473452177
26,264.3024,9053.0,8569.0,484.0,156.0981437316131
27,267.0258,9004.0,8470.0,534.0,144.23477223261494
28,269.7483,8943.0,8398.0,545.0,132.63362522062906
29,272.4701,9002.0,8442.0,560.0,121.30460067870969
30,275.1911,8959.0,8463.0,496.0,110.26604368786086
31,277.9114,8822.0,8382.0,440.0,99.52928931877474
32,280.6308,8900.0,8399.0,501.0,89.18266251752911
33,283.3495,8949.0,8471.0,478.0,79.34514973841806
34,286.0674,8909.0,8483.0,426.0,70.07245179347716
35,288.7845,8873.0,8427.0,446.0,61.42471251185605
36,291.5008,8881.0,8431.0,450.0,53.50088450632612
37,294.2163,8938.0,8533.0,405.0,46.378287079279076
38,296.9311,9034.0,8707.0,327.0,40.1689584952874
39,299.645,8998.0,8573.0,425.0,34.97695587417249
40,302.3582,8870.0,8421.0,449.0,30.7606921313424
41,305.0706,8814.0,8417.0,397.0,27.43574939345287
42,307.7822,8917.0,8578.0,339.0,24.93820135610763
43,310.4929,9025.0,8627.0,398.0,23.181860970180164
44,313.2029,8955.0,8530.0,425.0,22.117562286704167
45,315.9121,8909.0,8540.0,369.0,21.716127141594868
46,318.6205,8873.0,8452.0,421.0,21.889996782360356
47,321.3281,8948.0,8529.0,419.0,22.553017936686942
48,324.0349,8980.0,8647.0,333.0,23.6769967271963
49,326.7409,8879.0,8541.0,338.0,25.236389854225493
50,329.4461,8902.0,8434.0,468.0,27.224609658795256
51,332.1504,8864.0,8408.0,456.0,29.641932417570363
52,334.854,8920.0,8470.0,450.0,32.41951494022777
53,337.5567,8890.0,8459.0,431.0,35.47692696275764
54,340.2587,8837.0,8446.0,391.0,38.75438061077697
55,342.9598,8849.0,8495.0,354.0,42.188449657620495
56,345.6601,8824.0,8526.0,298.0,45.75540799219669
57,348.3596,8830.0,8467.0,363.0,49.45306898728576
58,351.0583,8839.0,8395.0,444.0,53.241242175400245
59,353.7562,8924.0,8577.0,347.0,57.08421154143087
60,356.4532,9180.0,8899.0,281.0,60.98536205819976
61,359.1495,9116.0,8745.0,371.0,64.9429307922836
62,361.8449,8843.0,8411.0,432.0,68.97246336217279
63,364.5395,8847.0,8413.0,434.0,73.09226165921018
64,367.2332,8816.0,8468.0,348.0,77.24087733695829
65,369.9262,8724.0,8365.0,359.0,81.33350730717781
66,372.6183,8722.0,8352.0,370.0,85.31823851209822
67,375.3095,8787.0,8341.0,446.0,89.13598243167318
68,378.0,8847.0,8360.0,487.0,92.7322163226167
69,380.6896,8748.0,8312.0,436.0,96.07104927897429
70,383.3784,8646.0,8236.0,410.0,99.08325353179504
71,386.0664,8705.0,8342.0,363.0,101.70587710228828
72,388.7535,8737.0,8256.0,481.0,103.95337337945003
73,391.4398,8647.0,8128.0,519.0,105.8580855211004
74,394.1252,8592.0,8164.0,428.0,107.4564831845564
75,396.8098,8595.0,8194.0,401.0,108.79717663734921
76,399.4936,8602.0,8161.0,441.0,109.88580838563111
77,402.1765,8638.0,8182.0,456.0,110.71743752023562
78,404.8586,8657.0,8254.0,403.0,111.31596316176429
79,407.5399,8584.0,8154.0,430.0,111.70329936618393
80,410.2203,8629.0,8171.0,458.0,111.90286160982018
81,412.8998,8595.0,8192.0,403.0,111.9470159049059
82,415.5785,8581.0,8207.0,374.0,111.8421454410864
83,418.2564,8508.0,8065.0,443.0,111.59430176233525
84,420.9334,8392.0,7949.0,443.0,111.24728770292985
85,423.6096,8524.0,8117.0,407.0,110.84332956182412
86,426.2849,8539.0,8118.0,421.0,110.43044777310261
87,428.9593,8360.0,7933.0,427.0,110.05579525532453
88,431.6329,8362.0,7950.0,412.0,109.70788940557168
89,434.3057,8448.0,7978.0,470.0,109.35680244508941
90,436.9775,8592.0,8130.0,462.0,108.98785417504182
91,439.6486,8433.0,8051.0,382.0,108.57881444410619
92,442.3187,8234.0,7834.0,400.0,108.11610599183153
93,444.9881,8221.0,7789.0,432.0,107.5949281631256
94,447.6565,8130.0,7707.0,423.0,106.9879786171482
95,450.3241,8082.0,7623.0,459.0,106.26909509807854
96,452.9908,8118.0,7657.0,461.0,105.44390397519813
97,455.6567,8197.0,7737.0,460.0,104.52277910870149
98,458.3217,8234.0,7786.0,448.0,103.52061980227329
99,460.9858,8113.0,7729.0,384.0,102.45631220407164
100,463.6491,8037.0,7619.0,418.0,101.32361377024709
101,466.3114,7953.0,7580.0,373.0,100.11109662765588
102,468.973,7948.0,7518.0,430.0,98.81739270556406
103,471.6336,7945.0,7521.0,424.0,97.44015871769415
104,474.2934,7878.0,7542.0,336.0,95.9863519637624
105,476.9523,7938.0,7525.0,413.0,94.46889266205548
106,479.6103,7964.0,7586.0,378.0,92.88963539913193
107,482.2675,7914.0,7581.0,333.0,91.25145038887547
108,484.9237,7888.0,7480.0,408.0,89.5689347147443
109,487.5791,7795.0,7391.0,404.0,87.8554732525108
110,490.2336,7833.0,7460.0,373.0,86.12920180431298
111,492.8873,7804.0,7415.0,389.0,84.40871588869608
112,495.54,7823.0,7448.0,375.0,82.69048628533957
113,498.1919,7928.0,7614.0,314.0,80.9648518734032
114,500.8429,7905.0,7547.0,358.0,79.22917654637708
115,503.493,7882.0,7532.0,350.0,77.47841194408338
116,506.1422,7908.0,7627.0,281.0,75.71177245518099
117,508.7905,7879.0,7542.0,337.0,73.93312964773826
118,511.438,7840.0,7471.0,369.0,72.13625457368754
119,514.0845,7788.0,7461.0,327.0,70.31632937819431
120,516.7302,7727.0,7470.0,257.0,68.48464218479396
121,519.375,7800.0,7531.0,269.0,66.6545608126955
122,522.0188,7927.0,7561.0,366.0,64.84378337039787
123,524.6618,7920.0,7617.0,303.0,63.07222188476909
124,527.3039,7930.0,7644.0,286.0,61.343276415615385
125,529.9451,7971.0,7661.0,310.0,59.65752548862615
126,532.5854,7940.0,7697.0,243.0,58.02123276150027
127,535.2248,7881.0,7568.0,313.0,56.43917662622196
128,537.8633,7910.0,7568.0,342.0,54.9250388637029
